internship_id,Date Time,profile,company,Location,Start Date,Stipend,Duration,Apply by Date,Skills,Eligibility,Perks,Description,deadline_is_demo,domain,work_mode,internship_type
2025WSHP0066,2025-09-27 22:05:54,Software Development,Zoxima Solutions Private Limited,Noida,Immediately,"₹ 15,000 /month",3 Months,10 Sep' 25,"C++, Java, Python, OOP, Data Structures",Undergraduate,"Certificate, Flexible, 5 Days A Week","This Software Development internship is focused on software and technology, with work aligned to Artificial intelligence, LangChain, and Python. The role is based in Noida and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 3 Months.",True,Software Development,On-site,Technical
2025WSHP0816,2025-09-27 22:20:22,Data Analytics,Tisteps Private Limited,Chennai,Immediately,"₹ 20,000 - 30,000 /month",6 Months,15 Oct' 25,"Python, SQL, Pandas, Power BI, Statistics",Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Business Analytics internship is focused on data and analytics, with work aligned to Data Analytics, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, and Python. The role is based in Chennai and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 6 Months.",False,Data Science,Hybrid,Technical
2025WSHP0044,2025-09-27 23:17:40,Embedded Systems,Tisteps Private Limited,Chennai,Immediately,"₹ 20,000 - 35,000 /month",6 Months,31 Oct' 25,"C, C++, Arduino, ESP32, STM32",Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Embedded Systems internship is focused on professional work in the listed internship domain, with work aligned to Arduino, ARM Microcontroller, C++ Programming, Circuit Design, C Programming, and EAGLE. The role is based in Chennai and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 6 Months.",False,Software Development,On-site,Technical
2025WSHP0303,2025-09-27 20:31:05,Cybersecurity,"Tisteps Private Limited (Chennai, India)",Chennai,Immediately,"₹ 20,000 - 30,000 /month",6 Months,5 Nov' 25,"Python, Linux, Networking, Nmap, Wireshark",Postgraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Cyber Security internship is focused on software and technology, with work aligned to Computer Networking, Ethical Hacking, Linux, Python, VAPT, and Web Application Security. The role is based in Chennai and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 6 Months.",False,Cyber Security,Hybrid,Technical
2025WSHP0907,2025-09-21 15:12:47,Machine Learning,Innovexis,Work from home,Immediately,"₹ 15,000 - 25,000 /month",3 Months,16 Oct' 25,"Python, NumPy, Pandas, Scikit-learn, Machine Learning",Postgraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Machine Learning internship is focused on data and analytics, with work aligned to Artificial intelligence, Data Analytics, Data Science, Natural Language Processing (NLP), Python, and R Programming. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 3 Months.",False,AI / Machine Learning,Remote,Technical
2025WSHP0086,2025-09-27 23:15:49,Generative AI,Tisteps Private Limited,Chennai,Immediately,"₹ 30,000 - 40,000 /month",6 Months,5 Nov' 25,"Python, LLM, RAG, Embeddings, Hugging Face",Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This AI Agent Development internship is focused on professional work in the listed internship domain, with work aligned to APIs, Artificial intelligence, LLM evaluation, and PyTorch. The role is based in Chennai and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 6 Months.",False,AI / Machine Learning,On-site,Technical
2025WSHP1954,2025-09-21 15:37:01,Software Testing,NDFM Business World Pvt. Ltd.,Work from home,Immediately,"₹ 1,000 - 2,000 /month",1 week ago,8 Oct' 25,"Selenium, Postman, PyTest, API Testing, Automation Testing",Undergraduate,"Certificate, Flexible, Letter Of Recommendation","This Software Testing internship is focused on software and technology, with work aligned to Database Testing, Manual Testing, Software Testing, and Usability Testing. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 1 week ago.",False,Software Development,Remote,Technical
2025WSHP0449,2025-09-21 15:47:51,Software Development,Digital Heroes,Work from home,Immediately,"₹ 15,000 /month",1 Month,4 Oct' 25,"C++, Java, Python, OOP, Data Structures",Postgraduate,"Certificate, Flexible, 5 Days A Week","This Software Development Engineering (Web) internship is focused on software and technology, with work aligned to Software Development Life Cycle (SDLC). The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 1 Month.",False,Software Development,Remote,Technical
2025WSHP0398,2025-09-21 15:19:18,Robotics,APEX ENGINEERING,Work from home,Immediately,"₹ 22,000 /month",2 Months,13 Oct' 25,"C++, Python, ROS, OpenCV, Arduino",Postgraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Robotics internship is focused on professional work in the listed internship domain, with work aligned to Arduino, ARM Microcontroller, AutoCAD, CAD, Embedded C, and Embedded Systems. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 2 Months.",False,Software Development,Remote,Technical
2025WSHP1013,2025-09-27 20:35:05,Game Development,Tisteps Private Limited,Chennai,Immediately,"₹ 25,000 - 35,000 /month",6 Months,31 Oct' 25,"C++, C#, Unity, Unreal Engine, Game Physics",Postgraduate & Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Game Development internship is focused on professional work in the listed internship domain, with work aligned to Blender 3D, JavaScript, Unity Engine, and Unreal Engine. The role is based in Chennai and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 6 Months.",False,Software Development,On-site,Technical
2025WSHP0075,2025-09-21 14:55:38,Data Science,Emoolar Technology Private Limited,Work from home,Immediately,"₹ 5,000 - 10,000 /month",3 Months,19 Oct' 25,"Python, Pandas, NumPy, Scikit-learn, Statistics",Postgraduate & Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Data Science internship is focused on data and analytics, with work aligned to Artificial intelligence, CNN (Convolutional Neural Network), Data Science, LLM evaluation, Natural Language Processing (NLP), and Python. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 3 Months.",False,Data Science,Remote,Technical
2025WSHP0934,2025-09-27 20:17:45,Backend Developer,Aidea Solutions Private Limited,Bangalore,Immediately,"₹ 12,000 - 15,000 /month",2 Months,27 Oct' 25,"Python, Node.js, Express.js, REST API, SQL",Postgraduate & Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Node.js Development internship is focused on professional work in the listed internship domain, with work aligned to ChatGPT, Hasura, Node.js, and Vue.js. The role is based in Bangalore and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 2 Months.",False,Web Development,On-site,Technical
2025WSHP0069,2025-09-21 15:16:43,React Native Development,Savant Consulting LLC,Work from home,Immediately,"₹ 8,000 - 12,000 /month",6 Months,15 Oct' 25,"JavaScript, TypeScript, React Native, Firebase, REST API",Postgraduate & Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This React Native Development internship is focused on professional work in the listed internship domain, with work aligned to React Native. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 6 Months.",False,Web Development,Remote,Technical
2025WSHP0311,2025-09-27 22:23:06,Database Engineering,Thermaissance,Mumbai,Immediately,"₹ 5,000 - 5,001 /month",2 Months,26 Oct' 25,"SQL, MySQL, PostgreSQL, MongoDB, Redis",Postgraduate,"Certificate, Flexible","This Database Building/Management internship is focused on data and analytics, with work aligned to Effective Communication and MS-Office. The role is based in Mumbai and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 2 Months.",False,Data Science,Hybrid,Technical
2025WSHP0135,2025-09-27 22:15:11,UI/UX Design,EvolSkills,Hyderabad,Immediately,"₹ 5,000 - 10,000 /month",1 Month,15 Oct' 25,"Figma, UI Design, UX Design, Wireframing, Prototyping",Postgraduate,Certificate,"This UX/UI Design internship is focused on design and creative work, with work aligned to Canva, Effective Communication, Figma, Web Design, and Wireframing. The role is based in Hyderabad and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 1 Month.",False,UI / UX,Hybrid,Technical
2025WSHP1780,2025-09-21 16:00:27,iOS Development,Go Eleventh Mile Technologies Private Limited,Work from home,Immediately,"₹ 10,000 - 30,000 /month",3 Months,22 Oct' 25,"Swift, SwiftUI, Xcode, UIKit, Firebase",Postgraduate,"Certificate, Flexible, Letter Of Recommendation","This iOS App Development internship is focused on software and technology, with work aligned to Firebase and Flutter. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 3 Months.",True,Software Development,Remote,Technical
2025WSHP0805,2025-09-27 23:16:40,CAD Design,Tisteps Private Limited,Chennai,Immediately,"₹ 30,000 - 40,000 /month",6 Months,5 Nov' 25,"AutoCAD, SolidWorks, CATIA, 3D Modeling, CAD",Postgraduate & Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This CAD Design internship is focused on design and creative work, with work aligned to AutoCAD, Autodesk 3ds Max, Autodesk Fusion 360, and SolidWorks. The role is based in Chennai and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 6 Months.",False,Software Development,On-site,Technical
2025WSHP2520,2025-09-27 22:39:34,Frontend Developer,Primetrade.ai,Chennai,Immediately,"₹ 20,000 /month",6 Months,22 Oct' 25,"HTML, CSS, JavaScript, React.js, TypeScript",Undergraduate,Certificate,"This Frontend Developer internship is focused on software and technology, with work aligned to Backend development, Frontend development, and Python. The role is based in Chennai and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 6 Months.",False,Web Development,On-site,Technical
2025WSHP2348,2025-09-21 15:37:07,Data Engineering,NDFM Business World Pvt. Ltd.,Work from home,2. can start the work from home job/internship between 1st Dec'25 and 31st Dec'25,"₹ 1,000 - 2,000 /month",1 week ago,1 Dec - 31 Dec' 25,"Python, SQL, Apache Spark, Kafka, Airflow",Undergraduate,"Certificate, Flexible, Letter Of Recommendation","This Big Data internship is focused on data and analytics, with work aligned to Big Data Analytics, BigQuery, Data Analysis, Data Cleaning, Python, and SQL. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start 2. can start the work from home job/internship between 1st Dec'25 and 31st Dec'25 and run for 1 week ago.",False,Data Science,Remote,Technical
2025WSHP1755,2025-09-21 16:13:05,Cloud Computing,Emoolar Technology Private Limited,Work from home,Immediately,"₹ 5,000 - 6,000 /month",3 Months,28 Nov' 25,"AWS, Azure, Docker, Kubernetes, Terraform",Postgraduate & Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Cloud Computing internship is focused on professional work in the listed internship domain, with work aligned to Amazon Web Services (AWS), Cloud Computing, Google Cloud Platforms (GCP), and Microsoft Azure. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 3 Months.",True,Cloud Computing,Remote,Technical
2025WSHP1369,2025-09-21 16:10:12,Blockchain Development,Emoolar Technology Private Limited,Work from home,Immediately,"₹ 4,500 - 5,000 /month",3 Months,03 Aug' 25,"Solidity, JavaScript, Ethereum, Web3.js, Smart Contracts",Postgraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Blockchain Development internship is focused on professional work in the listed internship domain, with work aligned to Blockchain and Ethereum. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 3 Months.",True,Software Development,Remote,Technical
2025WSHP0524,2025-09-27 20:20:42,Data Analytics,Nebulytix Technologies,Chennai,Immediately,"₹ 10,000 - 15,000 /month",3 Months,24 Oct' 25,"Python, SQL, Pandas, Power BI, Statistics",Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This FinTech & Data Analytics internship is focused on data and analytics, with work aligned to .NET, Artificial intelligence, Digital Advertising, Java, Python, and Web development. The role is based in Chennai and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 3 Months.",False,Data Science,Hybrid,Technical
2025WSHP0653,2025-09-27 20:43:07,DevOps,4x4 Advisory Services Private Limited,Bangalore,Immediately,"₹ 15,000 - 15,001 /month",6 Months,6 Oct' 25,"Linux, Docker, Kubernetes, Jenkins, CI/CD",Postgraduate & Undergraduate,Not Available,"This AWS DevOps Engineer internship is focused on professional work in the listed internship domain, with work aligned to Amazon Web Services (AWS), Ansible, Git, Linux, and Terraform. The role is based in Bangalore and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 6 Months.",False,Cloud Computing,On-site,Technical
2025WSHP2101,2025-09-27 22:12:30,Backend Developer,Primetrade.ai,Pune,Immediately,"₹ 20,000 /month",6 Months,23 Oct' 25,"Python, Node.js, Express.js, REST API, SQL",Undergraduate,Certificate,"This Backend Developer internship is focused on software and technology, with work aligned to Backend development, Frontend development, and Python. The role is based in Pune and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 6 Months.",False,Web Development,On-site,Technical
2025WSHP0352,2025-09-21 15:37:09,Software Testing,NDFM Business World Pvt. Ltd.,Work from home,Immediately,"₹ 1,000 - 2,000 /month",1 week ago,8 Oct' 25,"Selenium, Postman, PyTest, API Testing, Automation Testing",Undergraduate,"Certificate, Flexible, Letter Of Recommendation","This QA Testing internship is focused on professional work in the listed internship domain, with work aligned to Analytical Thinking, Business Analysis, Problem Solving, Quality Assurance/Quality Control (QA/QC), and Test Automation. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 1 week ago.",False,Software Development,Remote,Technical
2025WSHP1805,2025-09-27 22:50:51,Software Testing,Tisteps Private Limited,Chennai,Immediately,"₹ 30,000 - 40,000 /month",6 Months,5 Nov' 25,"Selenium, Postman, PyTest, API Testing, Automation Testing",Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Manual Testing internship is focused on professional work in the listed internship domain, with work aligned to Black Box Testing, Bug Tracking, Java, and Test Case Design. The role is based in Chennai and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 6 Months.",False,Software Development,On-site,Technical
2025WSHP1565,2025-09-27 23:16:12,Software Testing,Tisteps Private Limited,Chennai,Immediately,"₹ 20,000 - 35,000 /month",6 Months,5 Nov' 25,"Selenium, Postman, PyTest, API Testing, Automation Testing",Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Mobile App Testing internship is focused on professional work in the listed internship domain, with work aligned to Appium, Bug Tracking, Bugzilla, Jira, and Software Development Life Cycle (SDLC). The role is based in Chennai and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 6 Months.",False,Software Development,On-site,Technical
2026INT0038,2026-08-11 18:00:00,Artificial Intelligence,InnovateX Labs,Pune,Immediately,"₹ 10,000 /month",4 Months,20 Nov' 25,"Python, PyTorch, TensorFlow, Deep Learning, NLP",Postgraduate,"Certificate, Letter Of Recommendation","This Artificial Intelligence internship provides practical experience using Python, PyTorch, TensorFlow, Deep Learning, NLP.",True,AI / Machine Learning,On-site,Technical
2026INT0039,2026-08-12 21:00:00,Generative AI,CyberGrid,Delhi,Within 30 days,"₹ 12,000 /month",6 Months,12 Oct' 25,"Python, LLM, RAG, Embeddings, Hugging Face",Undergraduate,"Certificate, Letter Of Recommendation","This Generative AI internship provides practical experience using Python, LLM, RAG, Embeddings, Hugging Face.",True,AI / Machine Learning,On-site,Technical
2026INT0040,2026-08-13 00:00:00,NLP,TechNova Solutions,Work from home,Immediately,"₹ 5,000 /month",2 Months,26 Nov' 25,"Python, NLP, Transformers, Hugging Face, BERT",Undergraduate & Postgraduate,"Certificate, Letter Of Recommendation","This NLP internship provides practical experience using Python, NLP, Transformers, Hugging Face, BERT.",True,AI / Machine Learning,Remote,Technical
2026INT0041,2026-08-14 03:00:00,Computer Vision,DevSphere,Bengaluru,Immediately,"₹ 8,000 /month",3 Months,20 Aug' 25,"Python, OpenCV, PyTorch, YOLO, CNN",Postgraduate,"Certificate, Letter Of Recommendation","This Computer Vision internship provides practical experience using Python, OpenCV, PyTorch, YOLO, CNN.",True,AI / Machine Learning,On-site,Technical
2026INT0042,2026-08-15 06:00:00,Deep Learning,Visionary AI,Noida,Within 30 days,"₹ 10,000 /month",4 Months,18 Sep' 25,"Python, PyTorch, TensorFlow, CNN, Transformers",Undergraduate,"Certificate, Letter Of Recommendation","This Deep Learning internship provides practical experience using Python, PyTorch, TensorFlow, CNN, Transformers.",True,AI / Machine Learning,Hybrid,Technical
2026INT0043,2026-08-16 09:00:00,Data Engineering,CodeCraft Labs,Mumbai,Immediately,"₹ 12,000 /month",6 Months,11 Dec' 25,"Python, SQL, Apache Spark, Kafka, Airflow",Undergraduate & Postgraduate,"Certificate, Letter Of Recommendation","This Data Engineering internship provides practical experience using Python, SQL, Apache Spark, Kafka, Airflow.",True,Data Science,Hybrid,Technical
2026INT0044,2026-08-17 12:00:00,DevOps,PixelStack,Hyderabad,Immediately,"₹ 5,000 /month",2 Months,28 Dec' 25,"Linux, Docker, Kubernetes, Jenkins, CI/CD",Postgraduate,"Certificate, Letter Of Recommendation","This DevOps internship provides practical experience using Linux, Docker, Kubernetes, Jenkins, CI/CD.",True,Cloud Computing,On-site,Technical
2026INT0045,2026-08-18 15:00:00,Cloud Computing,QuantumSoft,Chennai,Within 30 days,"₹ 8,000 /month",3 Months,27 Aug' 25,"AWS, Azure, Docker, Kubernetes, Terraform",Undergraduate,"Certificate, Letter Of Recommendation","This Cloud Computing internship provides practical experience using AWS, Azure, Docker, Kubernetes, Terraform.",True,Cloud Computing,Hybrid,Technical
2026INT0046,2026-08-19 18:00:00,Cybersecurity,NextGen Technologies,Pune,Immediately,"₹ 10,000 /month",4 Months,06 Nov' 25,"Python, Linux, Networking, Nmap, Wireshark",Undergraduate & Postgraduate,"Certificate, Letter Of Recommendation","This Cybersecurity internship provides practical experience using Python, Linux, Networking, Nmap, Wireshark.",True,Cyber Security,Hybrid,Technical
2026INT0047,2026-08-20 21:00:00,Android Development,Axiom Technologies,Delhi,Immediately,"₹ 12,000 /month",6 Months,05 Oct' 25,"Kotlin, Java, Android Studio, Android SDK, Firebase",Postgraduate,"Certificate, Letter Of Recommendation","This Android Development internship provides practical experience using Kotlin, Java, Android Studio, Android SDK, Firebase.",True,Software Development,On-site,Technical
2026INT0048,2026-08-21 00:00:00,iOS Development,AppVerse,Work from home,Within 30 days,"₹ 5,000 /month",2 Months,17 Dec' 25,"Swift, SwiftUI, Xcode, UIKit, Firebase",Undergraduate,"Certificate, Letter Of Recommendation","This iOS Development internship provides practical experience using Swift, SwiftUI, Xcode, UIKit, Firebase.",True,Software Development,Remote,Technical
2026INT0049,2026-08-22 03:00:00,Flutter Development,ByteWorks,Bengaluru,Immediately,"₹ 8,000 /month",3 Months,28 Nov' 25,"Dart, Flutter, Firebase, REST API, Git",Undergraduate & Postgraduate,"Certificate, Letter Of Recommendation","This Flutter Development internship provides practical experience using Dart, Flutter, Firebase, REST API, Git.",True,Software Development,Hybrid,Technical
2026INT0050,2026-08-23 06:00:00,React Native Development,CoreTech Systems,Noida,Immediately,"₹ 10,000 /month",4 Months,16 Oct' 25,"JavaScript, TypeScript, React Native, Firebase, REST API",Postgraduate,"Certificate, Letter Of Recommendation","This React Native Development internship provides practical experience using JavaScript, TypeScript, React Native, Firebase, REST API.",True,Web Development,On-site,Technical
2026INT0051,2026-08-24 09:00:00,Embedded Systems,StackOrbit,Mumbai,Within 30 days,"₹ 12,000 /month",6 Months,08 Nov' 25,"C, C++, Arduino, ESP32, STM32",Undergraduate,"Certificate, Letter Of Recommendation","This Embedded Systems internship provides practical experience using C, C++, Arduino, ESP32, STM32.",True,Software Development,On-site,Technical
2026INT0052,2026-08-25 12:00:00,IoT Development,CloudMatrix,Hyderabad,Immediately,"₹ 5,000 /month",2 Months,20 Sep' 25,"C, C++, Python, ESP32, MQTT",Undergraduate & Postgraduate,"Certificate, Letter Of Recommendation","This IoT Development internship provides practical experience using C, C++, Python, ESP32, MQTT.",True,Software Development,On-site,Technical
2026INT0053,2026-08-26 15:00:00,Robotics,Nexora Labs,Chennai,Immediately,"₹ 8,000 /month",3 Months,15 Dec' 25,"C++, Python, ROS, OpenCV, Arduino",Postgraduate,"Certificate, Letter Of Recommendation","This Robotics internship provides practical experience using C++, Python, ROS, OpenCV, Arduino.",True,Software Development,Hybrid,Technical
2026INT0054,2026-08-27 18:00:00,Game Development,LogicLeaf,Pune,Within 30 days,"₹ 10,000 /month",4 Months,28 Nov' 25,"C++, C#, Unity, Unreal Engine, Game Physics",Undergraduate,"Certificate, Letter Of Recommendation","This Game Development internship provides practical experience using C++, C#, Unity, Unreal Engine, Game Physics.",True,Software Development,Hybrid,Technical
2026INT0055,2026-08-28 21:00:00,Blockchain Development,DataForge,Delhi,Immediately,"₹ 12,000 /month",6 Months,25 Aug' 25,"Solidity, JavaScript, Ethereum, Web3.js, Smart Contracts",Undergraduate & Postgraduate,"Certificate, Letter Of Recommendation","This Blockchain Development internship provides practical experience using Solidity, JavaScript, Ethereum, Web3.js, Smart Contracts.",True,Software Development,Hybrid,Technical
2026INT0056,2026-08-01 00:00:00,Software Testing,AlgoWorks,Work from home,Immediately,"₹ 5,000 /month",2 Months,15 Aug' 25,"Selenium, Postman, PyTest, API Testing, Automation Testing",Postgraduate,"Certificate, Letter Of Recommendation","This Software Testing internship provides practical experience using Selenium, Postman, PyTest, API Testing, Automation Testing.",True,Software Development,Remote,Technical
2026INT0057,2026-08-02 03:00:00,Database Engineering,TechBridge,Bengaluru,Within 30 days,"₹ 8,000 /month",3 Months,05 Oct' 25,"SQL, MySQL, PostgreSQL, MongoDB, Redis",Undergraduate,"Certificate, Letter Of Recommendation","This Database Engineering internship provides practical experience using SQL, MySQL, PostgreSQL, MongoDB, Redis.",True,Data Science,On-site,Technical
2026INT0058,2026-08-03 06:00:00,VLSI Design,InnovateX Labs,Noida,Immediately,"₹ 10,000 /month",4 Months,19 Aug' 25,"Verilog, SystemVerilog, VHDL, FPGA, RTL Design",Undergraduate & Postgraduate,"Certificate, Letter Of Recommendation","This VLSI Design internship provides practical experience using Verilog, SystemVerilog, VHDL, FPGA, RTL Design.",True,Software Development,On-site,Technical
