internship_id,Date Time,profile,company,Location,Start Date,Stipend,Duration,Apply by Date,Skills,Eligibility,Perks,Description
2025WSHP0066,2025-09-27 22:05:54,Software Development,Zoxima Solutions Private Limited,Noida,Immediately,"₹ 15,000 /month",3 Months,Not Available,"C++, Java, Python, JavaScript, Data Structures, Algorithms, OOP, DBMS, Operating Systems, Computer Networks, SQL, Git, REST API, System Design",Undergraduate,"Certificate, Flexible, 5 Days A Week","This Software Development internship is focused on software and technology, with work aligned to Artificial intelligence, LangChain, and Python. The role is based in Noida and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 3 Months."
2025WSHP0816,2025-09-27 22:20:22,Business Analytics,Tisteps Private Limited,Chennai,Immediately,"₹ 20,000 - 30,000 /month",6 Months,15 Oct' 25,"Python, SQL, Pandas, NumPy, Matplotlib, Seaborn, Power BI, Tableau, Statistics, Data Visualization, Data Cleaning, EDA",Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Business Analytics internship is focused on data and analytics, with work aligned to Data Analytics, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, and Python. The role is based in Chennai and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 6 Months."
2025WSHP0044,2025-09-27 23:17:40,Embedded Systems,Tisteps Private Limited,Chennai,Immediately,"₹ 20,000 - 35,000 /month",6 Months,31 Oct' 25,"C, C++, Arduino, ESP32, STM32, Microcontrollers, GPIO, UART, SPI, I2C, PWM, ADC, Interrupts, RTOS, Embedded C",Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Embedded Systems internship is focused on professional work in the listed internship domain, with work aligned to Arduino, ARM Microcontroller, C++ Programming, Circuit Design, C Programming, and EAGLE. The role is based in Chennai and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 6 Months."
2025WSHP0303,2025-09-27 20:31:05,Cyber Security,"Tisteps Private Limited (Chennai, India)",Chennai,Immediately,"₹ 20,000 - 30,000 /month",6 Months,5 Nov' 25,"Python, C, C++, Linux, Networking, Cryptography, Ethical Hacking, Penetration Testing, Nmap, Wireshark, Burp Suite, Metasploit, SIEM, Firewalls, IDS/IPS",Postgraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Cyber Security internship is focused on software and technology, with work aligned to Computer Networking, Ethical Hacking, Linux, Python, VAPT, and Web Application Security. The role is based in Chennai and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 6 Months."
2025WSHP0907,2025-09-21 15:12:47,Machine Learning,Innovexis,Work from home,Immediately,"₹ 15,000 - 25,000 /month",3 Months,16 Oct' 25,"Python, NumPy, Pandas, Scikit-learn, SciPy, Matplotlib, Seaborn, TensorFlow, PyTorch, XGBoost, LightGBM, Feature Engineering, Data Preprocessing, Model Evaluation, Statistics, Probability, Machine Learning",Postgraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Machine Learning internship is focused on data and analytics, with work aligned to Artificial intelligence, Data Analytics, Data Science, Natural Language Processing (NLP), Python, and R Programming. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 3 Months."
2025WSHP0086,2025-09-27 23:15:49,AI Agent Development,Tisteps Private Limited,Chennai,Immediately,"₹ 30,000 - 40,000 /month",6 Months,5 Nov' 25,"Python, NumPy, Pandas, Scikit-learn, PyTorch, TensorFlow, Deep Learning, NLP, Computer Vision, Transformers, Hugging Face, LLM, RAG, Embeddings, AI Agents",Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This AI Agent Development internship is focused on professional work in the listed internship domain, with work aligned to APIs, Artificial intelligence, LLM evaluation, and PyTorch. The role is based in Chennai and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 6 Months."
2025WSHP1954,2025-09-21 15:37:01,Software Testing,NDFM Business World Pvt. Ltd.,Work from home,Immediately,"₹ 1,000 - 2,000 /month",1 week ago,8 Oct' 25,"Selenium, Cypress, Playwright, Appium, Postman, JMeter, JUnit, TestNG, PyTest, Unit Testing, API Testing, Automation Testing, Performance Testing",Undergraduate,"Certificate, Flexible, Letter Of Recommendation","This Software Testing internship is focused on software and technology, with work aligned to Database Testing, Manual Testing, Software Testing, and Usability Testing. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 1 week ago."
2025WSHP0449,2025-09-21 15:47:51,Software Development Engineering (Web),Digital Heroes,Work from home,Immediately,"₹ 15,000 /month",1 Month,4 Oct' 25,"C++, Java, Python, JavaScript, Data Structures, Algorithms, OOP, DBMS, Operating Systems, Computer Networks, SQL, Git, REST API, System Design",Postgraduate,"Certificate, Flexible, 5 Days A Week","This Software Development Engineering (Web) internship is focused on software and technology, with work aligned to Software Development Life Cycle (SDLC). The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 1 Month."
2025WSHP0398,2025-09-21 15:19:18,Robotics,APEX ENGINEERING,Work from home,Immediately,"₹ 22,000 /month",2 Months,13 Oct' 25,"C++, Python, ROS, ROS2, OpenCV, Arduino, Raspberry Pi, Sensors, Actuators, Computer Vision, Control Systems, SLAM",Postgraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Robotics internship is focused on professional work in the listed internship domain, with work aligned to Arduino, ARM Microcontroller, AutoCAD, CAD, Embedded C, and Embedded Systems. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 2 Months."
2025WSHP1013,2025-09-27 20:35:05,Game Development,Tisteps Private Limited,Chennai,Immediately,"₹ 25,000 - 35,000 /month",6 Months,31 Oct' 25,"C++, C#, Unity, Unreal Engine, Godot, OpenGL, Game Physics, 3D Graphics, Game AI, Collision Detection, Rendering, Blender",Postgraduate & Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Game Development internship is focused on professional work in the listed internship domain, with work aligned to Blender 3D, JavaScript, Unity Engine, and Unreal Engine. The role is based in Chennai and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 6 Months."
2025WSHP0075,2025-09-21 14:55:38,Data Science,Emoolar Technology Private Limited,Work from home,Immediately,"₹ 5,000 - 10,000 /month",3 Months,19 Oct' 25,"Python, SQL, NumPy, Pandas, Matplotlib, Seaborn, SciPy, Scikit-learn, Statistics, Probability, Data Preprocessing, Feature Engineering, Machine Learning, Data Visualization",Postgraduate & Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Data Science internship is focused on data and analytics, with work aligned to Artificial intelligence, CNN (Convolutional Neural Network), Data Science, LLM evaluation, Natural Language Processing (NLP), and Python. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 3 Months."
2025WSHP1487,2025-09-21 15:43:09,Community Management,CollegeDunia Web Private Limited,Work from home,Immediately,"₹ 1,000 - 1,500 /week",3 Months,5 Oct' 25,"C++, C#, Unity, Unreal Engine, Godot, OpenGL, Game Physics, 3D Graphics, Game AI, Collision Detection, Rendering, Blender",Postgraduate,"Certificate, Flexible, Letter Of Recommendation","This Community Management internship is focused on software and technology, with work aligned to Collaboration, Coordination, Social Media Marketing, and Team Management. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 3 Months."
2025WSHP0934,2025-09-27 20:17:45,Node.js Development,Aidea Solutions Private Limited,Bangalore,Immediately,"₹ 12,000 - 15,000 /month",2 Months,27 Oct' 25,"Python, Java, C#, Node.js, Express.js, Django, Flask, FastAPI, Spring Boot, ASP.NET, REST API, GraphQL, JWT, OAuth, WebSockets, SQL, PostgreSQL, MongoDB, Redis, Docker, Git",Postgraduate & Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Node.js Development internship is focused on professional work in the listed internship domain, with work aligned to ChatGPT, Hasura, Node.js, and Vue.js. The role is based in Bangalore and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 2 Months."
2025WSHP0069,2025-09-21 15:16:43,React Native Development,Savant Consulting LLC,Work from home,Immediately,"₹ 8,000 - 12,000 /month",6 Months,15 Oct' 25,"HTML, CSS, JavaScript, TypeScript, React.js, Next.js, Angular, Vue.js, Redux, Tailwind CSS, Bootstrap, Sass, REST API, Git, GitHub, Webpack, Vite, Responsive Design",Postgraduate & Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This React Native Development internship is focused on professional work in the listed internship domain, with work aligned to React Native. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 6 Months."
2025WSHP0311,2025-09-27 22:23:06,Database Building/Management,Thermaissance,Mumbai,Immediately,"₹ 5,000 - 5,001 /month",2 Months,26 Oct' 25,"SQL, MySQL, PostgreSQL, Oracle, MongoDB, Redis, Database Design, Database Administration, Indexing, Query Optimization, Stored Procedures, Transactions",Postgraduate,"Certificate, Flexible","This Database Building/Management internship is focused on data and analytics, with work aligned to Effective Communication and MS-Office. The role is based in Mumbai and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 2 Months."
2025WSHP0135,2025-09-27 22:15:11,UX/UI Design,EvolSkills,Hyderabad,Immediately,"₹ 5,000 - 10,000 /month",1 Month,15 Oct' 25,"Figma, Adobe XD, Sketch, Wireframing, Prototyping, UI Design, UX Design, User Research, Information Architecture, Design Systems",Postgraduate,Certificate,"This UX/UI Design internship is focused on design and creative work, with work aligned to Canva, Effective Communication, Figma, Web Design, and Wireframing. The role is based in Hyderabad and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 1 Month."
2025WSHP1780,2025-09-21 16:00:27,iOS App Development,Go Eleventh Mile Technologies Private Limited,Work from home,Immediately,"₹ 10,000 - 30,000 /month",3 Months,Not Available,"Swift, SwiftUI, Xcode, UIKit, iOS SDK, Core Data, Firebase, REST API, URLSession, Core Animation",Postgraduate,"Certificate, Flexible, Letter Of Recommendation","This iOS App Development internship is focused on software and technology, with work aligned to Firebase and Flutter. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 3 Months."
2025WSHP0805,2025-09-27 23:16:40,CAD Design,Tisteps Private Limited,Chennai,Immediately,"₹ 30,000 - 40,000 /month",6 Months,5 Nov' 25,"AutoCAD, SolidWorks, CATIA, Fusion 360, 3D Modeling, CAD, CAE, CNC, Technical Drawing",Postgraduate & Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This CAD Design internship is focused on design and creative work, with work aligned to AutoCAD, Autodesk 3ds Max, Autodesk Fusion 360, and SolidWorks. The role is based in Chennai and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 6 Months."
2025WSHP2520,2025-09-27 22:39:34,Frontend Developer,Primetrade.ai,Chennai,Immediately,"₹ 20,000 /month",6 Months,22 Oct' 25,"HTML, CSS, JavaScript, TypeScript, React.js, Next.js, Angular, Vue.js, Redux, Tailwind CSS, Bootstrap, Sass, REST API, Git, GitHub, Webpack, Vite, Responsive Design",Undergraduate,Certificate,"This Frontend Developer internship is focused on software and technology, with work aligned to Backend development, Frontend development, and Python. The role is based in Chennai and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 6 Months."
2025WSHP2348,2025-09-21 15:37:07,Big Data,NDFM Business World Pvt. Ltd.,Work from home,2. can start the work from home job/internship between 1st Dec'25 and 31st Dec'25,"₹ 1,000 - 2,000 /month",1 week ago,1 Dec - 31 Dec' 25,"Python, SQL, Java, Scala, Apache Spark, Hadoop, Kafka, Apache Airflow, ETL, Data Warehousing, Snowflake, Databricks, AWS, Docker",Undergraduate,"Certificate, Flexible, Letter Of Recommendation","This Big Data internship is focused on data and analytics, with work aligned to Big Data Analytics, BigQuery, Data Analysis, Data Cleaning, Python, and SQL. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start 2. can start the work from home job/internship between 1st Dec'25 and 31st Dec'25 and run for 1 week ago."
2025WSHP1755,2025-09-21 16:13:05,Cloud Computing,Emoolar Technology Private Limited,Work from home,Immediately,"₹ 5,000 - 6,000 /month",3 Months,Not Available,"AWS, Microsoft Azure, Google Cloud, EC2, S3, Lambda, RDS, VPC, IAM, Docker, Kubernetes, Terraform, CloudFormation, Serverless",Postgraduate & Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Cloud Computing internship is focused on professional work in the listed internship domain, with work aligned to Amazon Web Services (AWS), Cloud Computing, Google Cloud Platforms (GCP), and Microsoft Azure. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 3 Months."
2025WSHP1369,2025-09-21 16:10:12,Blockchain Development,Emoolar Technology Private Limited,Work from home,Immediately,"₹ 4,500 - 5,000 /month",3 Months,Not Available,"Solidity, JavaScript, TypeScript, Python, Ethereum, Web3.js, Ethers.js, Hardhat, Foundry, Smart Contracts, Blockchain, IPFS, MetaMask",Postgraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Blockchain Development internship is focused on professional work in the listed internship domain, with work aligned to Blockchain and Ethereum. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 3 Months."
2025WSHP0524,2025-09-27 20:20:42,FinTech & Data Analytics,Nebulytix Technologies,Chennai,Immediately,"₹ 10,000 - 15,000 /month",3 Months,24 Oct' 25,"Python, SQL, Pandas, NumPy, Matplotlib, Seaborn, Power BI, Tableau, Statistics, Data Visualization, Data Cleaning, EDA",Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This FinTech & Data Analytics internship is focused on data and analytics, with work aligned to .NET, Artificial intelligence, Digital Advertising, Java, Python, and Web development. The role is based in Chennai and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 3 Months."
2025WSHP0653,2025-09-27 20:43:07,AWS DevOps Engineer,4x4 Advisory Services Private Limited,Bangalore,Immediately,"₹ 15,000 - 15,001 /month",6 Months,6 Oct' 25,"Linux, Bash, Git, GitHub, Docker, Kubernetes, Jenkins, GitHub Actions, GitLab CI/CD, Terraform, Ansible, CI/CD, Nginx, Prometheus, Grafana",Postgraduate & Undergraduate,Not Available,"This AWS DevOps Engineer internship is focused on professional work in the listed internship domain, with work aligned to Amazon Web Services (AWS), Ansible, Git, Linux, and Terraform. The role is based in Bangalore and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 6 Months."
2025WSHP2101,2025-09-27 22:12:30,Backend Developer,Primetrade.ai,Pune,Immediately,"₹ 20,000 /month",6 Months,23 Oct' 25,"Python, Java, C#, Node.js, Express.js, Django, Flask, FastAPI, Spring Boot, ASP.NET, REST API, GraphQL, JWT, OAuth, WebSockets, SQL, PostgreSQL, MongoDB, Redis, Docker, Git",Undergraduate,Certificate,"This Backend Developer internship is focused on software and technology, with work aligned to Backend development, Frontend development, and Python. The role is based in Pune and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 6 Months."
2025WSHP0352,2025-09-21 15:37:09,QA Testing,NDFM Business World Pvt. Ltd.,Work from home,Immediately,"₹ 1,000 - 2,000 /month",1 week ago,8 Oct' 25,"Selenium, Cypress, Playwright, Appium, Postman, JMeter, JUnit, TestNG, PyTest, Unit Testing, API Testing, Automation Testing, Performance Testing",Undergraduate,"Certificate, Flexible, Letter Of Recommendation","This QA Testing internship is focused on professional work in the listed internship domain, with work aligned to Analytical Thinking, Business Analysis, Problem Solving, Quality Assurance/Quality Control (QA/QC), and Test Automation. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 1 week ago."
2025WSHP2307,2025-09-28 10:04:13,College Community Lead,Connect Karo,Remote,Not Available,"₹ 5,000 - 20,000 /month",2 Months,17 Oct' 25,"C++, C#, Unity, Unreal Engine, Godot, OpenGL, Game Physics, 3D Graphics, Game AI, Collision Detection, Rendering, Blender",Undergraduate,"Certificate, Letter Of Recommendation","This College Community Lead internship is focused on software and technology, with work aligned to Collaboration, Coordination, Copywriting, Creativity, Effective Communication, and Event Management. The role is based in Remote and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Not Available and run for 2 Months."
2025WSHP1805,2025-09-27 22:50:51,Manual Testing,Tisteps Private Limited,Chennai,Immediately,"₹ 30,000 - 40,000 /month",6 Months,5 Nov' 25,"Selenium, Cypress, Playwright, Appium, Postman, JMeter, JUnit, TestNG, PyTest, Unit Testing, API Testing, Automation Testing, Performance Testing",Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Manual Testing internship is focused on professional work in the listed internship domain, with work aligned to Black Box Testing, Bug Tracking, Java, and Test Case Design. The role is based in Chennai and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 6 Months."
2025WSHP1565,2025-09-27 23:16:12,Mobile App Testing,Tisteps Private Limited,Chennai,Immediately,"₹ 20,000 - 35,000 /month",6 Months,5 Nov' 25,"Selenium, Cypress, Playwright, Appium, Postman, JMeter, JUnit, TestNG, PyTest, Unit Testing, API Testing, Automation Testing, Performance Testing",Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Mobile App Testing internship is focused on professional work in the listed internship domain, with work aligned to Appium, Bug Tracking, Bugzilla, Jira, and Software Development Life Cycle (SDLC). The role is based in Chennai and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 6 Months."
