internship_id,posted_at,role,company,location,stipend,duration,deadline,skills,eligibility,perks,description,deadline_is_demo,domain,work_mode,internship_type,stipend_min,stipend_max,stipend_avg,duration_months,skills_list,start_type,start_date_raw
2025WSHP0066,2025-09-27 22:05:54,Software Development,Zoxima Solutions Private Limited,Noida,"₹ 15,000 /month",3 Months,2025-09-10,"C++, Java, Python, OOP, Data Structures",Undergraduate,"Certificate, Flexible, 5 Days A Week","This Software Development internship is focused on software and technology, with work aligned to Artificial intelligence, LangChain, and Python. The role is based in Noida and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 3 Months.",True,Software Development,On-site,Technical,15000.0,15000.0,15000.0,3.0,"['c++', 'java', 'python', 'oop', 'data structures']",Immediately,Immediately
2025WSHP0816,2025-09-27 22:20:22,Data Analytics,Tisteps Private Limited,Chennai,"₹ 20,000 - 30,000 /month",6 Months,2025-10-15,"Python, SQL, Pandas, Power BI, Statistics",Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Business Analytics internship is focused on data and analytics, with work aligned to Data Analytics, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, and Python. The role is based in Chennai and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 6 Months.",False,Data Science,Hybrid,Technical,20000.0,30000.0,25000.0,6.0,"['python', 'sql', 'pandas', 'power bi', 'statistics']",Immediately,Immediately
2025WSHP0044,2025-09-27 23:17:40,Embedded Systems,Tisteps Private Limited,Chennai,"₹ 20,000 - 35,000 /month",6 Months,2025-10-31,"C, C++, Arduino, ESP32, STM32",Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Embedded Systems internship is focused on professional work in the listed internship domain, with work aligned to Arduino, ARM Microcontroller, C++ Programming, Circuit Design, C Programming, and EAGLE. The role is based in Chennai and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 6 Months.",False,Software Development,On-site,Technical,20000.0,35000.0,27500.0,6.0,"['c', 'c++', 'arduino', 'esp32', 'stm32']",Immediately,Immediately
2025WSHP0303,2025-09-27 20:31:05,Cybersecurity,"Tisteps Private Limited (Chennai, India)",Chennai,"₹ 20,000 - 30,000 /month",6 Months,2025-11-05,"Python, Linux, Networking, Nmap, Wireshark",Postgraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Cyber Security internship is focused on software and technology, with work aligned to Computer Networking, Ethical Hacking, Linux, Python, VAPT, and Web Application Security. The role is based in Chennai and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 6 Months.",False,Cyber Security,Hybrid,Technical,20000.0,30000.0,25000.0,6.0,"['python', 'linux', 'networking', 'nmap', 'wireshark']",Immediately,Immediately
2025WSHP0907,2025-09-21 15:12:47,Machine Learning,Innovexis,Remote,"₹ 15,000 - 25,000 /month",3 Months,2025-10-16,"Python, NumPy, Pandas, Scikit-learn, Machine Learning",Postgraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Machine Learning internship is focused on data and analytics, with work aligned to Artificial intelligence, Data Analytics, Data Science, Natural Language Processing (NLP), Python, and R Programming. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 3 Months.",False,AI / Machine Learning,Remote,Technical,15000.0,25000.0,20000.0,3.0,"['python', 'numpy', 'pandas', 'scikit-learn', 'machine learning']",Immediately,Immediately
2025WSHP0086,2025-09-27 23:15:49,Generative AI,Tisteps Private Limited,Chennai,"₹ 30,000 - 40,000 /month",6 Months,2025-11-05,"Python, LLM, RAG, Embeddings, Hugging Face",Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This AI Agent Development internship is focused on professional work in the listed internship domain, with work aligned to APIs, Artificial intelligence, LLM evaluation, and PyTorch. The role is based in Chennai and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 6 Months.",False,AI / Machine Learning,On-site,Technical,30000.0,40000.0,35000.0,6.0,"['python', 'llm', 'rag', 'embeddings', 'hugging face']",Immediately,Immediately
2025WSHP1954,2025-09-21 15:37:01,Software Testing,NDFM Business World Pvt. Ltd.,Remote,"₹ 1,000 - 2,000 /month",1 week ago,2025-10-08,"Selenium, Postman, PyTest, API Testing, Automation Testing",Undergraduate,"Certificate, Flexible, Letter Of Recommendation","This Software Testing internship is focused on software and technology, with work aligned to Database Testing, Manual Testing, Software Testing, and Usability Testing. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 1 week ago.",False,Software Development,Remote,Technical,1000.0,2000.0,1500.0,0.25,"['selenium', 'postman', 'pytest', 'api testing', 'automation testing']",Immediately,Immediately
2025WSHP0449,2025-09-21 15:47:51,Software Development,Digital Heroes,Remote,"₹ 15,000 /month",1 Month,2025-10-04,"C++, Java, Python, OOP, Data Structures",Postgraduate,"Certificate, Flexible, 5 Days A Week","This Software Development Engineering (Web) internship is focused on software and technology, with work aligned to Software Development Life Cycle (SDLC). The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 1 Month.",False,Software Development,Remote,Technical,15000.0,15000.0,15000.0,1.0,"['c++', 'java', 'python', 'oop', 'data structures']",Immediately,Immediately
2025WSHP0398,2025-09-21 15:19:18,Robotics,APEX ENGINEERING,Remote,"₹ 22,000 /month",2 Months,2025-10-13,"C++, Python, ROS, OpenCV, Arduino",Postgraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Robotics internship is focused on professional work in the listed internship domain, with work aligned to Arduino, ARM Microcontroller, AutoCAD, CAD, Embedded C, and Embedded Systems. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 2 Months.",False,Software Development,Remote,Technical,22000.0,22000.0,22000.0,2.0,"['c++', 'python', 'ros', 'opencv', 'arduino']",Immediately,Immediately
2025WSHP1013,2025-09-27 20:35:05,Game Development,Tisteps Private Limited,Chennai,"₹ 25,000 - 35,000 /month",6 Months,2025-10-31,"C++, C#, Unity, Unreal Engine, Game Physics",Postgraduate & Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Game Development internship is focused on professional work in the listed internship domain, with work aligned to Blender 3D, JavaScript, Unity Engine, and Unreal Engine. The role is based in Chennai and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 6 Months.",False,Software Development,On-site,Technical,25000.0,35000.0,30000.0,6.0,"['c++', 'c#', 'unity', 'unreal engine', 'game physics']",Immediately,Immediately
2025WSHP0075,2025-09-21 14:55:38,Data Science,Emoolar Technology Private Limited,Remote,"₹ 5,000 - 10,000 /month",3 Months,2025-10-19,"Python, Pandas, NumPy, Scikit-learn, Statistics",Postgraduate & Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Data Science internship is focused on data and analytics, with work aligned to Artificial intelligence, CNN (Convolutional Neural Network), Data Science, LLM evaluation, Natural Language Processing (NLP), and Python. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 3 Months.",False,Data Science,Remote,Technical,5000.0,10000.0,7500.0,3.0,"['python', 'pandas', 'numpy', 'scikit-learn', 'statistics']",Immediately,Immediately
2025WSHP0934,2025-09-27 20:17:45,Backend Developer,Aidea Solutions Private Limited,Bengaluru,"₹ 12,000 - 15,000 /month",2 Months,2025-10-27,"Python, Node.js, Express.js, REST API, SQL",Postgraduate & Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Node.js Development internship is focused on professional work in the listed internship domain, with work aligned to ChatGPT, Hasura, Node.js, and Vue.js. The role is based in Bangalore and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 2 Months.",False,Web Development,On-site,Technical,12000.0,15000.0,13500.0,2.0,"['python', 'node.js', 'express.js', 'rest api', 'sql']",Immediately,Immediately
2025WSHP0069,2025-09-21 15:16:43,React Native Development,Savant Consulting LLC,Remote,"₹ 8,000 - 12,000 /month",6 Months,2025-10-15,"JavaScript, TypeScript, React Native, Firebase, REST API",Postgraduate & Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This React Native Development internship is focused on professional work in the listed internship domain, with work aligned to React Native. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 6 Months.",False,Web Development,Remote,Technical,8000.0,12000.0,10000.0,6.0,"['javascript', 'typescript', 'react native', 'firebase', 'rest api']",Immediately,Immediately
2025WSHP0311,2025-09-27 22:23:06,Database Engineering,Thermaissance,Mumbai,"₹ 5,000 - 5,001 /month",2 Months,2025-10-26,"SQL, MySQL, PostgreSQL, MongoDB, Redis",Postgraduate,"Certificate, Flexible","This Database Building/Management internship is focused on data and analytics, with work aligned to Effective Communication and MS-Office. The role is based in Mumbai and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 2 Months.",False,Data Science,Hybrid,Technical,5000.0,5001.0,5000.5,2.0,"['sql', 'mysql', 'postgresql', 'mongodb', 'redis']",Immediately,Immediately
2025WSHP0135,2025-09-27 22:15:11,UI/UX Design,EvolSkills,Hyderabad,"₹ 5,000 - 10,000 /month",1 Month,2025-10-15,"Figma, UI Design, UX Design, Wireframing, Prototyping",Postgraduate,Certificate,"This UX/UI Design internship is focused on design and creative work, with work aligned to Canva, Effective Communication, Figma, Web Design, and Wireframing. The role is based in Hyderabad and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 1 Month.",False,UI / UX,Hybrid,Technical,5000.0,10000.0,7500.0,1.0,"['figma', 'ui design', 'ux design', 'wireframing', 'prototyping']",Immediately,Immediately
2025WSHP1780,2025-09-21 16:00:27,iOS Development,Go Eleventh Mile Technologies Private Limited,Remote,"₹ 10,000 - 30,000 /month",3 Months,2025-10-22,"Swift, SwiftUI, Xcode, UIKit, Firebase",Postgraduate,"Certificate, Flexible, Letter Of Recommendation","This iOS App Development internship is focused on software and technology, with work aligned to Firebase and Flutter. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 3 Months.",True,Software Development,Remote,Technical,10000.0,30000.0,20000.0,3.0,"['swift', 'swiftui', 'xcode', 'uikit', 'firebase']",Immediately,Immediately
2025WSHP0805,2025-09-27 23:16:40,CAD Design,Tisteps Private Limited,Chennai,"₹ 30,000 - 40,000 /month",6 Months,2025-11-05,"AutoCAD, SolidWorks, CATIA, 3D Modeling, CAD",Postgraduate & Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This CAD Design internship is focused on design and creative work, with work aligned to AutoCAD, Autodesk 3ds Max, Autodesk Fusion 360, and SolidWorks. The role is based in Chennai and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 6 Months.",False,Software Development,On-site,Technical,30000.0,40000.0,35000.0,6.0,"['autocad', 'solidworks', 'catia', '3d modeling', 'cad']",Immediately,Immediately
2025WSHP2520,2025-09-27 22:39:34,Frontend Developer,Primetrade.ai,Chennai,"₹ 20,000 /month",6 Months,2025-10-22,"HTML, CSS, JavaScript, React.js, TypeScript",Undergraduate,Certificate,"This Frontend Developer internship is focused on software and technology, with work aligned to Backend development, Frontend development, and Python. The role is based in Chennai and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 6 Months.",False,Web Development,On-site,Technical,20000.0,20000.0,20000.0,6.0,"['html', 'css', 'javascript', 'react.js', 'typescript']",Immediately,Immediately
2025WSHP2348,2025-09-21 15:37:07,Data Engineering,NDFM Business World Pvt. Ltd.,Remote,"₹ 1,000 - 2,000 /month",1 week ago,2025-12-31,"Python, SQL, Apache Spark, Kafka, Airflow",Undergraduate,"Certificate, Flexible, Letter Of Recommendation","This Big Data internship is focused on data and analytics, with work aligned to Big Data Analytics, BigQuery, Data Analysis, Data Cleaning, Python, and SQL. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start 2. can start the work from home job/internship between 1st Dec'25 and 31st Dec'25 and run for 1 week ago.",False,Data Science,Remote,Technical,1000.0,2000.0,1500.0,0.25,"['python', 'sql', 'apache spark', 'kafka', 'airflow']",Date Range,2. can start the work from home job/internship between 1st Dec'25 and 31st Dec'25
2025WSHP1755,2025-09-21 16:13:05,Cloud Computing,Emoolar Technology Private Limited,Remote,"₹ 5,000 - 6,000 /month",3 Months,2025-11-28,"AWS, Azure, Docker, Kubernetes, Terraform",Postgraduate & Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Cloud Computing internship is focused on professional work in the listed internship domain, with work aligned to Amazon Web Services (AWS), Cloud Computing, Google Cloud Platforms (GCP), and Microsoft Azure. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 3 Months.",True,Cloud Computing,Remote,Technical,5000.0,6000.0,5500.0,3.0,"['aws', 'azure', 'docker', 'kubernetes', 'terraform']",Immediately,Immediately
2025WSHP1369,2025-09-21 16:10:12,Blockchain Development,Emoolar Technology Private Limited,Remote,"₹ 4,500 - 5,000 /month",3 Months,2025-08-03,"Solidity, JavaScript, Ethereum, Web3.js, Smart Contracts",Postgraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Blockchain Development internship is focused on professional work in the listed internship domain, with work aligned to Blockchain and Ethereum. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Postgraduate. It is listed to start Immediately and run for 3 Months.",True,Software Development,Remote,Technical,4500.0,5000.0,4750.0,3.0,"['solidity', 'javascript', 'ethereum', 'web3.js', 'smart contracts']",Immediately,Immediately
2025WSHP0524,2025-09-27 20:20:42,Data Analytics,Nebulytix Technologies,Chennai,"₹ 10,000 - 15,000 /month",3 Months,2025-10-24,"Python, SQL, Pandas, Power BI, Statistics",Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This FinTech & Data Analytics internship is focused on data and analytics, with work aligned to .NET, Artificial intelligence, Digital Advertising, Java, Python, and Web development. The role is based in Chennai and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 3 Months.",False,Data Science,Hybrid,Technical,10000.0,15000.0,12500.0,3.0,"['python', 'sql', 'pandas', 'power bi', 'statistics']",Immediately,Immediately
2025WSHP0653,2025-09-27 20:43:07,DevOps,4x4 Advisory Services Private Limited,Bengaluru,"₹ 15,000 - 15,001 /month",6 Months,2025-10-06,"Linux, Docker, Kubernetes, Jenkins, CI/CD",Postgraduate & Undergraduate,,"This AWS DevOps Engineer internship is focused on professional work in the listed internship domain, with work aligned to Amazon Web Services (AWS), Ansible, Git, Linux, and Terraform. The role is based in Bangalore and is suitable for candidates meeting the stated eligibility of Postgraduate & Undergraduate. It is listed to start Immediately and run for 6 Months.",False,Cloud Computing,On-site,Technical,15000.0,15001.0,15000.5,6.0,"['linux', 'docker', 'kubernetes', 'jenkins', 'ci/cd']",Immediately,Immediately
2025WSHP2101,2025-09-27 22:12:30,Backend Developer,Primetrade.ai,Pune,"₹ 20,000 /month",6 Months,2025-10-23,"Python, Node.js, Express.js, REST API, SQL",Undergraduate,Certificate,"This Backend Developer internship is focused on software and technology, with work aligned to Backend development, Frontend development, and Python. The role is based in Pune and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 6 Months.",False,Web Development,On-site,Technical,20000.0,20000.0,20000.0,6.0,"['python', 'node.js', 'express.js', 'rest api', 'sql']",Immediately,Immediately
2025WSHP0352,2025-09-21 15:37:09,Software Testing,NDFM Business World Pvt. Ltd.,Remote,"₹ 1,000 - 2,000 /month",1 week ago,2025-10-08,"Selenium, Postman, PyTest, API Testing, Automation Testing",Undergraduate,"Certificate, Flexible, Letter Of Recommendation","This QA Testing internship is focused on professional work in the listed internship domain, with work aligned to Analytical Thinking, Business Analysis, Problem Solving, Quality Assurance/Quality Control (QA/QC), and Test Automation. The role is based in Work from home and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 1 week ago.",False,Software Development,Remote,Technical,1000.0,2000.0,1500.0,0.25,"['selenium', 'postman', 'pytest', 'api testing', 'automation testing']",Immediately,Immediately
2025WSHP1805,2025-09-27 22:50:51,Software Testing,Tisteps Private Limited,Chennai,"₹ 30,000 - 40,000 /month",6 Months,2025-11-05,"Selenium, Postman, PyTest, API Testing, Automation Testing",Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Manual Testing internship is focused on professional work in the listed internship domain, with work aligned to Black Box Testing, Bug Tracking, Java, and Test Case Design. The role is based in Chennai and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 6 Months.",False,Software Development,On-site,Technical,30000.0,40000.0,35000.0,6.0,"['selenium', 'postman', 'pytest', 'api testing', 'automation testing']",Immediately,Immediately
2025WSHP1565,2025-09-27 23:16:12,Software Testing,Tisteps Private Limited,Chennai,"₹ 20,000 - 35,000 /month",6 Months,2025-11-05,"Selenium, Postman, PyTest, API Testing, Automation Testing",Undergraduate,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week","This Mobile App Testing internship is focused on professional work in the listed internship domain, with work aligned to Appium, Bug Tracking, Bugzilla, Jira, and Software Development Life Cycle (SDLC). The role is based in Chennai and is suitable for candidates meeting the stated eligibility of Undergraduate. It is listed to start Immediately and run for 6 Months.",False,Software Development,On-site,Technical,20000.0,35000.0,27500.0,6.0,"['selenium', 'postman', 'pytest', 'api testing', 'automation testing']",Immediately,Immediately
2026INT0038,2026-08-11 18:00:00,Artificial Intelligence,InnovateX Labs,Pune,"₹ 10,000 /month",4 Months,2025-11-20,"Python, PyTorch, TensorFlow, Deep Learning, NLP",Postgraduate,"Certificate, Letter Of Recommendation","This Artificial Intelligence internship provides practical experience using Python, PyTorch, TensorFlow, Deep Learning, NLP.",True,AI / Machine Learning,On-site,Technical,10000.0,10000.0,10000.0,4.0,"['python', 'pytorch', 'tensorflow', 'deep learning', 'nlp']",Immediately,Immediately
2026INT0039,2026-08-12 21:00:00,Generative AI,CyberGrid,Delhi,"₹ 12,000 /month",6 Months,2025-10-12,"Python, LLM, RAG, Embeddings, Hugging Face",Undergraduate,"Certificate, Letter Of Recommendation","This Generative AI internship provides practical experience using Python, LLM, RAG, Embeddings, Hugging Face.",True,AI / Machine Learning,On-site,Technical,12000.0,12000.0,12000.0,6.0,"['python', 'llm', 'rag', 'embeddings', 'hugging face']",Within 30 days,Within 30 days
2026INT0040,2026-08-13 00:00:00,NLP,TechNova Solutions,Remote,"₹ 5,000 /month",2 Months,2025-11-26,"Python, NLP, Transformers, Hugging Face, BERT",Postgraduate & Undergraduate,"Certificate, Letter Of Recommendation","This NLP internship provides practical experience using Python, NLP, Transformers, Hugging Face, BERT.",True,AI / Machine Learning,Remote,Technical,5000.0,5000.0,5000.0,2.0,"['python', 'nlp', 'transformers', 'hugging face', 'bert']",Immediately,Immediately
2026INT0041,2026-08-14 03:00:00,Computer Vision,DevSphere,Bengaluru,"₹ 8,000 /month",3 Months,2025-08-20,"Python, OpenCV, PyTorch, YOLO, CNN",Postgraduate,"Certificate, Letter Of Recommendation","This Computer Vision internship provides practical experience using Python, OpenCV, PyTorch, YOLO, CNN.",True,AI / Machine Learning,On-site,Technical,8000.0,8000.0,8000.0,3.0,"['python', 'opencv', 'pytorch', 'yolo', 'cnn']",Immediately,Immediately
2026INT0042,2026-08-15 06:00:00,Deep Learning,Visionary AI,Noida,"₹ 10,000 /month",4 Months,2025-09-18,"Python, PyTorch, TensorFlow, CNN, Transformers",Undergraduate,"Certificate, Letter Of Recommendation","This Deep Learning internship provides practical experience using Python, PyTorch, TensorFlow, CNN, Transformers.",True,AI / Machine Learning,Hybrid,Technical,10000.0,10000.0,10000.0,4.0,"['python', 'pytorch', 'tensorflow', 'cnn', 'transformers']",Within 30 days,Within 30 days
2026INT0043,2026-08-16 09:00:00,Data Engineering,CodeCraft Labs,Mumbai,"₹ 12,000 /month",6 Months,2025-12-11,"Python, SQL, Apache Spark, Kafka, Airflow",Postgraduate & Undergraduate,"Certificate, Letter Of Recommendation","This Data Engineering internship provides practical experience using Python, SQL, Apache Spark, Kafka, Airflow.",True,Data Science,Hybrid,Technical,12000.0,12000.0,12000.0,6.0,"['python', 'sql', 'apache spark', 'kafka', 'airflow']",Immediately,Immediately
2026INT0044,2026-08-17 12:00:00,DevOps,PixelStack,Hyderabad,"₹ 5,000 /month",2 Months,2025-12-28,"Linux, Docker, Kubernetes, Jenkins, CI/CD",Postgraduate,"Certificate, Letter Of Recommendation","This DevOps internship provides practical experience using Linux, Docker, Kubernetes, Jenkins, CI/CD.",True,Cloud Computing,On-site,Technical,5000.0,5000.0,5000.0,2.0,"['linux', 'docker', 'kubernetes', 'jenkins', 'ci/cd']",Immediately,Immediately
2026INT0045,2026-08-18 15:00:00,Cloud Computing,QuantumSoft,Chennai,"₹ 8,000 /month",3 Months,2025-08-27,"AWS, Azure, Docker, Kubernetes, Terraform",Undergraduate,"Certificate, Letter Of Recommendation","This Cloud Computing internship provides practical experience using AWS, Azure, Docker, Kubernetes, Terraform.",True,Cloud Computing,Hybrid,Technical,8000.0,8000.0,8000.0,3.0,"['aws', 'azure', 'docker', 'kubernetes', 'terraform']",Within 30 days,Within 30 days
